,Time,Subsystems,IVBatt,I+5V,IRadio,ISW1_5V,ISW2_5V,ISW3_5V,I7,ICharger,I_E,DA,DB,DC,C,ISW1-5V,ISW2-5V,ISW3-5V
0,16,EPS,"[7.23, -108.7]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.7]","[5.0, 20.3]","[5.0, 0.3]"
0,17,EPS,"[7.23, -108.7]","[5.0, 63.3]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.5]","[5.01, 0.1]"
0,18,EPS,"[7.23, -108.0]","[5.0, 61.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.94, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.3]","[5.01, 0.5]"
0,19,EPS,"[7.23, -108.6]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.94, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.2]","[5.0, 19.9]","[5.0, 0.4]"
0,20,EPS,"[7.23, -108.3]","[5.0, 63.6]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.91, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.1]","[5.0, 20.3]","[5.0, 0.2]"
0,21,EPS,"[7.23, -108.9]","[5.0, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.91, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.2]","[5.0, 20.3]","[5.01, 0.4]"
0,22,EPS,"[7.23, -108.0]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.2]","[5.0, 0.2]"
0,23,EPS,"[7.23, -108.7]","[5.0, 63.5]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.7]","[5.0, 20.1]","[5.0, 0.3]"
0,24,EPS,"[7.23, -108.4]","[5.0, 63.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.97, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.3]","[5.0, 19.4]","[5.0, 0.5]"
0,25,EPS,"[7.23, -109.0]","[4.99, 63.3]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.0]","[5.01, 20.2]","[5.0, 0.5]"
